light,mobility,resilience,recovery,discipline,intellect,strength,class,mode,tiers_mob,tiers_res,tiers_rec,tiers_dis,tiers_int,tiers_str,tiers,total
1556,31,34,105,22,106,27,Warlock,Trials,3,3,10,2,10,2,30,325
1558,95,63,74,14,68,46,Hunter,Trials,9,6,7,1,6,4,33,360
1559,99,61,71,47,94,24,Hunter,Trials,9,6,7,4,9,2,37,396
1580,55,59,101,24,95,57,Warlock,Control,5,5,10,2,9,5,36,391
1556,88,42,87,34,87,39,Hunter,Trials,8,4,8,3,8,3,34,377
1555,53,66,61,84,81,37,Hunter,Trials,5,6,6,8,8,3,36,382
1557,43,27,102,33,93,31,Warlock,Trials,4,2,10,3,9,3,31,329
1560,51,101,40,72,63,37,Titan,Trials,5,10,4,7,6,3,35,364
1557,26,26,89,77,24,31,Warlock,Control,2,2,8,7,2,3,24,273
1579,103,32,92,73,62,26,Hunter,Control,10,3,9,7,6,2,37,388
1555,41,22,100,61,90,61,Warlock,Trials,4,2,10,6,9,6,37,375
1556,30,24,100,101,41,30,Warlock,Trials,3,2,10,10,4,3,32,326
1560,94,45,65,57,70,57,Hunter,Trials,9,4,6,5,7,5,36,388
1556,100,36,104,44,109,13,Hunter,Trials,10,3,10,4,10,1,38,406
1558,109,18,90,38,37,55,Hunter,Trials,10,1,9,3,3,5,31,347
1558,100,52,102,53,77,38,Hunter,Trials,10,5,10,5,7,3,40,422
1558,99,28,100,101,41,57,Hunter,Trials,9,2,10,10,4,5,40,426
1569,12,99,53,48,51,21,Titan,Control,1,9,5,4,5,2,26,284
1566,48,24,103,70,94,18,Warlock,Control,4,2,10,7,9,1,33,357
1559,61,50,102,26,103,73,Titan,Trials,6,5,10,2,10,7,40,415
1555,59,43,52,42,88,35,Warlock,Trials,5,4,5,4,8,3,29,319
1557,89,20,108,70,52,58,Hunter,Trials,8,2,10,7,5,5,37,397
1556,91,69,36,40,71,41,Hunter,Trials,9,6,3,4,7,4,33,348
1560,44,90,100,87,48,43,Titan,Trials,4,9,10,8,4,4,39,412
1547,37,37,56,45,48,42,Hunter,Trials,3,3,5,4,4,4,23,265
1581,25,95,102,37,75,57,Titan,Control,2,9,10,3,7,5,36,391
1556,50,29,38,59,30,41,Titan,Control,5,2,3,5,3,4,22,247
1564,25,39,101,76,71,36,Warlock,Control,2,3,10,7,7,3,32,348
1556,88,40,104,32,101,35,Hunter,Trials,8,4,10,3,10,3,38,400
1573,81,39,102,32,82,41,Warlock,Control,8,3,10,3,8,4,36,377
1560,102,45,101,102,54,48,Hunter,Trials,10,4,10,10,5,4,43,452
1550,104,63,78,53,55,48,Hunter,Trials,10,6,7,5,5,4,37,401
1559,82,32,103,54,100,30,Titan,Trials,8,3,10,5,10,3,39,401
1559,39,45,112,101,35,23,Warlock,Trials,3,4,11,10,3,2,33,355
1560,62,63,100,80,60,82,Titan,Trials,6,6,10,8,6,8,44,447
1560,103,32,92,73,62,26,Hunter,Trials,10,3,9,7,6,2,37,388
1560,102,45,101,102,54,48,Hunter,Trials,10,4,10,10,5,4,43,452
1574,107,37,44,33,51,115,Hunter,Control,10,3,4,3,5,11,36,387
1556,102,28,87,71,44,56,Hunter,Trials,10,2,8,7,4,5,36,388
1575,89,20,108,70,52,58,Hunter,Control,8,2,10,7,5,5,37,397
1581,68,59,105,33,120,18,Warlock,Control,6,5,10,3,12,1,37,403
1559,45,95,102,37,75,37,Titan,Trials,4,9,10,3,7,3,36,391
1477,33,36,44,29,35,51,Hunter,Control,3,3,4,2,3,5,20,228
1576,102,29,101,45,64,62,Hunter,Control,10,2,10,4,6,6,38,403
1558,87,38,74,52,106,8,Hunter,Trials,8,3,7,5,10,0,33,365
1559,50,75,75,64,36,55,Hunter,Trials,5,7,7,6,3,5,33,355
